code,jurisdiction,includes_jails,year,prisoner_count,crime_reporting_change,crimes_estimated,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft,murder_manslaughter_per_capita_per_one_hundred_thousand,rape_legacy_per_capita_per_one_hundred_thousand,robbery_per_capita_per_one_hundred_thousand,agg_assault_per_capita_per_one_hundred_thousand,burglary_per_capita_per_one_hundred_thousand,larceny_per_capita_per_one_hundred_thousand,vehicle_theft_per_capita_per_one_hundred_thousand,prisoners_per_capita_per_one_hundred_thousand,total_crime,total_crime_per_capita_per_one_hundred_thousand
MA,MASSACHUSETTS,FALSE,2014,10447,FALSE,FALSE,6745408,26399,132,1629,2180,6036,18051,125267,24964,92043,8260,1.96,24.15,89.48,267.6,370.09,1364.53,122.45,154.88,151666,2248.43
MI,MICHIGAN,FALSE,2014,43359,FALSE,FALSE,9909877,42348,535,4049,6273,8021,27519,202547,44184,137206,21157,5.4,40.86,80.94,277.69,445.86,1384.54,213.49,437.53,244895,2471.22
MN,MINNESOTA,FALSE,2014,9576,FALSE,FALSE,5457173,12505,88,1452,2001,3687,6729,125377,20773,96237,8367,1.61,26.61,67.56,123.31,380.65,1763.5,153.32,175.48,137882,2526.62
MS,MISSISSIPPI,FALSE,2014,13069,FALSE,FALSE,2994079,8338,258,764,1058,2430,4592,87462,24352,58591,4519,8.62,25.52,81.16,153.37,813.34,1956.9,150.93,436.49,95800,3199.65
MO,MISSOURI,FALSE,2014,31903,FALSE,FALSE,6063589,26856,403,1706,2379,5592,18482,176237,35258,124622,16357,6.65,28.14,92.22,304.8,581.47,2055.25,269.76,526.14,203093,3349.39
MT,MONTANA,FALSE,2014,3119,FALSE,FALSE,1023579,3313,37,430,541,203,2532,25312,3595,19674,2043,3.61,42.01,19.83,247.37,351.22,1922.08,199.59,304.72,28625,2796.56
NE,NEBRASKA,FALSE,2014,5228,FALSE,FALSE,1881503,5275,54,620,862,1043,3316,47479,7950,35074,4455,2.87,32.95,55.43,176.24,422.53,1864.15,236.78,277.86,52754,2803.82
NV,NEVADA,FALSE,2014,12693,FALSE,FALSE,2839099,18045,170,995,1357,5954,10564,74538,21927,42426,10185,5.99,35.05,209.71,372.09,772.32,1494.35,358.74,447.08,92583,3261
NH,NEW HAMPSHIRE,FALSE,2014,2723,FALSE,FALSE,1326813,2602,12,458,594,537,1459,26041,4162,21022,857,0.9,34.52,40.47,109.96,313.68,1584.4,64.59,205.23,28643,2158.78
NJ,NEW JERSEY,FALSE,2014,21394,FALSE,FALSE,8938175,23346,349,953,1274,10498,11225,154993,31710,111578,11705,3.9,10.66,117.45,125.58,354.77,1248.33,130.96,239.36,178339,1995.25
NM,NEW MEXICO,FALSE,2014,6948,FALSE,FALSE,2085572,12459,101,1071,1475,2086,8797,73877,18505,49082,6290,4.84,51.35,100.02,421.8,887.29,2353.41,301.6,333.15,86336,4139.68
NY,NEW YORK,FALSE,2014,52362,FALSE,FALSE,19746227,75398,617,3918,5433,24045,45303,339282,50781,272765,15736,3.12,19.84,121.77,229.43,257.17,1381.35,79.69,265.17,414680,2100.05
NC,NORTH CAROLINA,FALSE,2014,37348,FALSE,FALSE,9943964,32767,510,1740,2420,8416,21421,285697,79373,192694,13630,5.13,17.5,84.63,215.42,798.2,1937.8,137.07,375.58,318464,3202.59
ND,NORTH DAKOTA,FALSE,2014,1696,FALSE,FALSE,739482,1960,22,276,358,173,1407,15605,2707,11384,1514,2.98,37.32,23.39,190.27,366.07,1539.46,204.74,229.35,17565,2375.31
OH,OHIO,FALSE,2014,51521,FALSE,FALSE,11594163,33030,464,4097,5042,12753,14771,324528,78845,227668,18015,4,35.34,110,127.4,680.04,1963.64,155.38,444.37,357558,3083.95
OK,OKLAHOMA,FALSE,2014,26493,FALSE,FALSE,3878051,15744,175,1277,1777,3048,10744,115982,29508,75891,10583,4.51,32.93,78.6,277.05,760.9,1956.94,272.89,683.15,131726,3396.71
OR,OREGON,FALSE,2014,14492,FALSE,FALSE,3970239,9224,81,1052,1458,2093,5592,114305,17230,87526,9549,2.04,26.5,52.72,140.85,433.98,2204.55,240.51,365.02,123529,3111.37
PA,PENNSYLVANIA,FALSE,2014,49174,FALSE,FALSE,12787209,40164,614,2787,3827,13534,22189,247016,45720,188256,13040,4.8,21.8,105.84,173.52,357.54,1472.22,101.98,384.56,287180,2245.84
RI,RHODE ISLAND,TRUE,2014,3133,FALSE,FALSE,1055173,2313,25,253,361,529,1398,22935,4823,16279,1833,2.37,23.98,50.13,132.49,457.08,1542.78,173.72,296.92,25248,2392.78
SC,SOUTH CAROLINA,FALSE,2014,20948,FALSE,FALSE,4832482,24052,311,1480,2068,3997,17676,167217,36721,117594,12902,6.44,30.63,82.71,365.77,759.88,2433.41,266.98,433.48,191269,3957.99
SD,SOUTH DAKOTA,FALSE,2014,3507,FALSE,FALSE,853175,2786,20,413,470,200,2096,15902,2818,12077,1007,2.34,48.41,23.44,245.67,330.3,1415.54,118.03,411.05,18688,2190.41
TN,TENNESSEE,FALSE,2014,20815,FALSE,FALSE,6549352,39848,371,1861,2531,7265,29681,200447,46642,141206,12599,5.66,28.42,110.93,453.19,712.16,2156.03,192.37,317.82,240295,3668.99
TX,TEXAS,FALSE,2014,154247,FALSE,FALSE,26956958,109414,1184,8236,11393,31181,65656,813934,169234,576154,68546,4.39,30.55,115.67,243.56,627.79,2137.31,254.28,572.2,923348,3425.27
UT,UTAH,FALSE,2014,5307,FALSE,FALSE,2942902,6346,67,945,1454,1312,3513,84711,11518,65895,7298,2.28,32.11,44.58,119.37,391.38,2239.12,247.99,180.33,91057,3094.12
