code,jurisdiction,includes_jails,year,prisoner_count,crime_reporting_change,crimes_estimated,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft,murder_manslaughter_per_capita_per_one_hundred_thousand,rape_legacy_per_capita_per_one_hundred_thousand,robbery_per_capita_per_one_hundred_thousand,agg_assault_per_capita_per_one_hundred_thousand,burglary_per_capita_per_one_hundred_thousand,larceny_per_capita_per_one_hundred_thousand,vehicle_theft_per_capita_per_one_hundred_thousand,prisoners_per_capita_per_one_hundred_thousand,total_crime,total_crime_per_capita_per_one_hundred_thousand
VT,VERMONT,TRUE,2014,1979,FALSE,FALSE,626562,622,10,99,110,70,432,9551,2034,7273,244,1.6,15.8,11.17,68.95,324.63,1160.78,38.94,315.85,10173,1623.62
VA,VIRGINIA,FALSE,2014,30050,FALSE,FALSE,8326289,16340,338,1432,2310,4292,9400,160720,23122,129933,7665,4.06,17.2,51.55,112.9,277.7,1560.52,92.06,360.91,177060,2126.52
WA,WASHINGTON,FALSE,2014,17180,FALSE,FALSE,7061530,20136,174,2171,2695,5640,11627,261706,55290,175769,30647,2.46,30.74,79.87,164.65,782.97,2489.11,434,243.29,281842,3991.23
WV,WEST VIRGINIA,FALSE,2014,5867,FALSE,FALSE,1850326,5588,74,285,505,651,4358,37648,8973,26779,1896,4,15.4,35.18,235.53,484.94,1447.26,102.47,317.08,43236,2336.67
WI,WISCONSIN,FALSE,2014,22572,FALSE,FALSE,5757564,16714,165,1168,1674,5066,9809,120238,21216,89103,9919,2.87,20.29,87.99,170.37,368.49,1547.58,172.28,392.04,136952,2378.64
WY,WYOMING,FALSE,2014,2369,FALSE,FALSE,584153,1142,16,126,174,53,899,11477,1689,9185,603,2.74,21.57,9.07,153.9,289.14,1572.36,103.23,405.54,12619,2160.22
FED,FEDERAL,FALSE,2015,195622,,,300950801,1147870,14925,85430,117479,299696,715770,7644667,1532280,5423206,689181,4.96,28.39,99.58,237.84,509.15,1802.02,229,65,8792537,2921.59
AL,ALABAMA,FALSE,2015,25212,FALSE,FALSE,4858979,22952,348,1456,2039,4611,15954,144746,35255,99156,10335,7.16,29.97,94.9,328.34,725.56,2040.68,212.7,518.87,167698,3451.3
AK,ALASKA,TRUE,2015,5247,FALSE,FALSE,738432,5392,59,650,901,761,3671,20806,3511,15249,2046,7.99,88.02,103.06,497.13,475.47,2065.05,277.07,710.56,26198,3547.79
AZ,ARIZONA,FALSE,2015,42204,FALSE,FALSE,6828065,28012,309,2294,3108,6360,18235,207107,37957,152365,16785,4.53,33.6,93.14,267.06,555.9,2231.45,245.82,618.1,235119,3443.42
AR,ARKANSAS,FALSE,2015,15784,FALSE,FALSE,2978204,15526,181,1300,1931,2098,11316,96836,22640,68424,5772,6.08,43.65,70.45,379.96,760.19,2297.49,193.81,529.98,112362,3772.81
CA,CALIFORNIA,FALSE,2015,127815,FALSE,FALSE,39144818,166883,1861,9387,12811,52862,99349,1024914,197404,656517,170993,4.75,23.98,135.04,253.8,504.29,1677.15,436.82,326.52,1191797,3044.58
CO,COLORADO,FALSE,2015,19959,FALSE,FALSE,5456574,17515,176,2377,3257,3323,10759,144136,23454,104682,16000,3.23,43.56,60.9,197.18,429.83,1918.46,293.22,365.78,161651,2962.5
CT,CONNECTICUT,TRUE,2015,16024,FALSE,FALSE,3590886,7845,117,582,773,2892,4063,65066,10053,48675,6338,3.26,16.21,80.54,113.15,279.96,1355.52,176.5,446.24,72911,2030.45
DE,DELAWARE,TRUE,2015,6437,FALSE,FALSE,945934,4720,63,243,341,1235,3081,25455,4773,19501,1181,6.66,25.69,130.56,325.71,504.58,2061.56,124.85,680.49,30175,3189.97
FL,FLORIDA,FALSE,2015,99485,FALSE,FALSE,20271272,93626,1041,5430,7553,21137,63895,570270,109268,420341,40661,5.14,26.79,104.27,315.2,539.03,2073.58,200.58,490.77,663896,3275.06
GA,GEORGIA,FALSE,2015,52002,TRUE,FALSE,10214860,38643,615,2296,3224,12247,22557,308723,66374,215867,26482,6.02,22.48,119.89,220.83,649.78,2113.26,259.25,509.08,347366,3400.59
HI,HAWAII,TRUE,2015,5413,FALSE,FALSE,1431603,4201,19,400,561,1203,2418,54346,6557,42010,5779,1.33,27.94,84.03,168.9,458.02,2934.47,403.67,378.11,58547,4089.61
ID,IDAHO,FALSE,2015,7238,FALSE,FALSE,1654930,3568,32,533,694,192,2650,28858,6124,20863,1871,1.93,32.21,11.6,160.13,370.05,1260.66,113.06,437.36,32426,1959.36
IL,ILLINOIS,FALSE,2015,46240,FALSE,FALSE,12859995,49354,744,3549,4821,14910,28879,255729,46443,191634,17652,5.79,27.6,115.94,224.56,361.14,1490.16,137.26,359.56,305083,2372.34
IN,INDIANA,FALSE,2015,26586,FALSE,FALSE,6619680,25653,373,1789,2404,7111,15765,171847,34410,123918,13519,5.63,27.03,107.42,238.15,519.81,1871.96,204.22,401.62,197500,2983.53
IA,IOWA,FALSE,2015,8864,FALSE,FALSE,3123899,8936,72,851,1156,1047,6661,63957,14892,44723,4342,2.3,27.24,33.52,213.23,476.71,1431.64,138.99,283.75,72893,2333.4
KS,KANSAS,FALSE,2015,9533,FALSE,FALSE,2911641,11353,128,1251,1615,1818,7792,79199,15362,56880,6957,4.4,42.97,62.44,267.62,527.61,1953.54,238.94,327.41,90552,3110
KY,KENTUCKY,FALSE,2015,11959,FALSE,FALSE,4425092,9676,209,997,1492,3307,4668,96362,22260,66320,7782,4.72,22.53,74.73,105.49,503.04,1498.73,175.86,270.25,106038,2396.29
LA,LOUISIANA,FALSE,2015,18447,FALSE,FALSE,4670724,25208,481,1260,1723,5550,17454,156629,35453,111435,9741,10.3,26.98,118.83,373.69,759.05,2385.82,208.55,394.95,181837,3893.12
ME,MAINE,FALSE,2015,2190,FALSE,FALSE,1329328,1729,23,354,474,311,921,24327,4684,18829,814,1.73,26.63,23.4,69.28,352.36,1416.43,61.23,164.74,26056,1960.09
MD,MARYLAND,FALSE,2015,20951,FALSE,FALSE,6006401,27462,516,1184,1666,9863,15417,139048,25678,100219,13151,8.59,19.71,164.21,256.68,427.51,1668.54,218.95,348.81,166510,2772.21
MA,MASSACHUSETTS,FALSE,2015,9493,FALSE,FALSE,6794422,26562,128,1608,2075,5288,19071,114871,21890,84912,8069,1.88,23.67,77.83,280.69,322.18,1249.73,118.76,139.72,141433,2081.6
MI,MICHIGAN,FALSE,2015,42628,FALSE,FALSE,9922576,41231,571,4163,6450,7796,26414,187101,40041,131296,15764,5.75,41.95,78.57,266.2,403.53,1323.2,158.87,429.61,228332,2301.14
MN,MINNESOTA,FALSE,2015,9578,FALSE,FALSE,5489594,13319,133,1686,2321,3771,7094,121984,19299,94704,7981,2.42,30.71,68.69,129.23,351.56,1725.15,145.38,174.48,135303,2464.72
MS,MISSISSIPPI,FALSE,2015,13967,FALSE,FALSE,2992333,8254,259,862,1203,2294,4498,84790,24799,55748,4243,8.66,28.81,76.66,150.32,828.75,1863.03,141.8,466.76,93044,3109.41
MO,MISSOURI,FALSE,2015,32295,FALSE,FALSE,6083672,30261,502,1854,2553,6376,20830,173642,34006,122637,16999,8.25,30.48,104.81,342.39,558.97,2015.84,279.42,530.85,203903,3351.64
MT,MONTANA,FALSE,2015,3176,FALSE,FALSE,1032949,3611,36,431,547,210,2818,27100,3838,20844,2418,3.49,41.73,20.33,272.81,371.56,2017.91,234.09,307.47,30711,2973.14
NE,NEBRASKA,FALSE,2015,5133,FALSE,FALSE,1896190,5212,62,652,873,994,3283,42495,6422,32072,4001,3.27,34.38,52.42,173.14,338.68,1691.39,211,270.7,47707,2515.94
NV,NEVADA,FALSE,2015,13235,FALSE,FALSE,2890845,20118,178,1238,1688,6287,11965,77137,22360,43426,11351,6.16,42.82,217.48,413.89,773.48,1502.19,392.65,457.82,97255,3364.24
NH,NEW HAMPSHIRE,FALSE,2015,2661,FALSE,FALSE,1330608,2652,14,461,627,468,1543,23229,3467,18871,891,1.05,34.65,35.17,115.96,260.56,1418.22,66.96,199.98,25881,1945.05
NJ,NEW JERSEY,FALSE,2015,20294,FALSE,FALSE,8958013,22879,363,1019,1373,9729,11414,145701,27960,105963,11778,4.05,11.38,108.61,127.42,312.12,1182.89,131.48,226.55,168580,1881.89
NM,NEW MEXICO,FALSE,2015,7104,FALSE,FALSE,2085109,13681,117,1215,1672,2485,9407,77094,17085,51483,8526,5.61,58.27,119.18,451.15,819.38,2469.08,408.9,340.7,90775,4353.49
NY,NEW YORK,FALSE,2015,51485,,,,,,,,,,,,,,,,,,,,,,,
NC,NORTH CAROLINA,FALSE,2015,36888,FALSE,FALSE,10042802,34852,517,1939,2684,8825,22826,276183,74841,187907,13435,5.15,19.31,87.87,227.29,745.22,1871.06,133.78,367.31,311035,3097.09
ND,NORTH DAKOTA,FALSE,2015,1772,FALSE,FALSE,756927,1812,21,276,345,148,1298,16020,2997,11440,1583,2.77,36.46,19.55,171.48,395.94,1511.37,209.14,234.1,17832,2355.84
OH,OHIO,FALSE,2015,52240,FALSE,FALSE,11613423,33898,500,4154,5149,12554,15695,300525,69303,213993,17229,4.31,35.77,108.1,135.15,596.75,1842.64,148.35,449.82,334423,2879.62
OK,OKLAHOMA,FALSE,2015,27321,FALSE,FALSE,3911338,16506,234,1352,1849,3005,11418,112878,28406,74022,10450,5.98,34.57,76.83,291.92,726.25,1892.5,267.17,698.51,129384,3307.92
OR,OREGON,FALSE,2015,14655,FALSE,FALSE,4028977,10468,99,1164,1593,2146,6630,118719,18336,89836,10547,2.46,28.89,53.26,164.56,455.1,2229.75,261.78,363.74,129187,3206.45
PA,PENNSYLVANIA,FALSE,2015,48846,FALSE,FALSE,12802503,40339,658,3122,4305,13003,22373,232085,39664,180287,12134,5.14,24.39,101.57,174.75,309.81,1408.22,94.78,381.53,272424,2127.9
RI,RHODE ISLAND,TRUE,2015,2982,FALSE,FALSE,1056298,2562,29,338,459,556,1518,20043,3947,14707,1389,2.75,32,52.64,143.71,373.66,1392.32,131.5,282.31,22605,2140.02
SC,SOUTH CAROLINA,FALSE,2015,20457,FALSE,FALSE,4896146,24700,399,1707,2297,3931,18073,161245,34551,113724,12970,8.15,34.86,80.29,369.13,705.68,2322.72,264.9,417.82,185945,3797.78
SD,SOUTH DAKOTA,FALSE,2015,3536,FALSE,FALSE,858469,3289,32,441,495,216,2546,16680,2960,12532,1188,3.73,51.37,25.16,296.57,344.8,1459.81,138.39,411.9,19969,2326.12
TN,TENNESSEE,FALSE,2015,19800,FALSE,FALSE,6600299,40400,406,1966,2676,7474,29844,193796,43247,137679,12870,6.15,29.79,113.24,452.16,655.23,2085.95,194.99,299.99,234196,3548.26
TX,TEXAS,FALSE,2015,152492,FALSE,FALSE,27469114,113227,1316,8925,12250,31934,67727,777739,153054,557200,67485,4.79,32.49,116.25,246.56,557.19,2028.46,245.68,555.14,890966,3243.52
UT,UTAH,FALSE,2015,4831,FALSE,FALSE,2995919,7071,54,1098,1645,1326,4046,89278,12468,68103,8707,1.8,36.65,44.26,135.05,416.17,2273.19,290.63,161.25,96349,3216.01
VT,VERMONT,TRUE,2015,1750,FALSE,FALSE,626042,739,10,121,136,101,492,8806,1968,6660,178,1.6,19.33,16.13,78.59,314.36,1063.83,28.43,279.53,9545,1524.66
VA,VIRGINIA,FALSE,2015,30430,FALSE,FALSE,8382993,16399,383,1493,2340,4441,9235,156470,21340,127019,8111,4.57,17.81,52.98,110.16,254.56,1515.2,96.76,363,172869,2062.14
WA,WASHINGTON,FALSE,2015,17222,FALSE,FALSE,7170351,20394,211,2193,2705,5449,12029,248369,50993,170509,26867,2.94,30.58,75.99,167.76,711.16,2377.97,374.7,240.18,268763,3748.25
WV,WEST VIRGINIA,FALSE,2015,5925,FALSE,FALSE,1844128,6231,70,420,672,760,4729,37251,9170,25842,2239,3.8,22.77,41.21,256.44,497.25,1401.31,121.41,321.29,43482,2357.86
WI,WISCONSIN,FALSE,2015,22914,FALSE,FALSE,5771337,17647,240,1224,1780,5232,10395,113924,19554,83385,10985,4.16,21.21,90.65,180.11,338.81,1444.81,190.34,397.03,131571,2279.73
WY,WYOMING,FALSE,2015,2400,FALSE,FALSE,586107,1302,16,125,173,59,1054,11151,1762,8797,592,2.73,21.33,10.07,179.83,300.63,1500.92,101.01,409.48,12453,2124.7
FED,FEDERAL,FALSE,2016,188311,,,322721599,1277370,17277,0,131881,329297,798915,7896153,1514044,5617746,764363,5.35,0,102.04,247.56,469.15,1740.74,236.85,58.35,9173523,2842.55
AL,ALABAMA,FALSE,2016,23745,FALSE,FALSE,4860545,25878,407,,1915,4687,18869,143259,34045,97498,11716,8.37,0,96.43,388.21,700.44,2005.91,241.04,488.53,169137,3479.79
AK,ALASKA,TRUE,2016,4378,FALSE,FALSE,741522,5966,52,,1053,850,4011,24876,4053,17766,3057,7.01,0,114.63,540.91,546.58,2395.88,412.26,590.41,30842,4159.28
AZ,ARIZONA,FALSE,2016,42248,FALSE,FALSE,6908642,32542,389,,3304,7045,21804,207317,38216,150618,18483,5.63,0,101.97,315.6,553.16,2180.14,267.53,611.52,239859,3471.87
AR,ARKANSAS,FALSE,2016,15833,FALSE,FALSE,2988231,16563,217,,2214,2125,12007,98092,23814,67091,7187,7.26,0,71.11,401.81,796.93,2245.17,240.51,529.85,114655,3836.89
CA,CALIFORNIA,FALSE,2016,129416,FALSE,FALSE,39296476,174796,1930,,13702,54789,104375,1002070,188304,637010,176756,4.91,0,139.42,265.61,479.19,1621.04,449.8,329.33,1176866,2994.84
CO,COLORADO,FALSE,2016,19486,FALSE,FALSE,5530105,19030,189,,3635,3525,11681,152146,23825,108680,19641,3.42,0,63.74,211.23,430.82,1965.24,355.17,352.36,171176,3095.35
CT,CONNECTICUT,TRUE,2016,15040,FALSE,FALSE,3587685,8169,79,,791,2711,4588,64875,10107,47642,7126,2.2,0,75.56,127.88,281.71,1327.93,198.62,419.21,73044,2035.96
DE,DELAWARE,TRUE,2016,6334,FALSE,FALSE,952698,4859,58,,311,1359,3131,26370,5028,19812,1530,6.09,0,142.65,328.65,527.76,2079.57,160.6,664.85,31229,3277.95
FL,FLORIDA,FALSE,2016,98010,FALSE,FALSE,20656589,88700,1111,,7598,20175,59816,553812,100325,410352,43135,5.38,0,97.67,289.57,485.68,1986.54,208.82,474.47,642512,3110.45
GA,GEORGIA,FALSE,2016,53433,FALSE,FALSE,10313620,40268,682,,3381,12114,24091,307305,62715,218127,26463,6.61,0,117.46,233.58,608.08,2114.94,256.58,518.08,347573,3370.04
HI,HAWAII,TRUE,2016,5182,FALSE,FALSE,1428683,3452,35,,601,985,1831,42353,5983,30871,5499,2.45,0,68.94,128.16,418.78,2160.8,384.9,362.71,45805,3206.1
ID,IDAHO,FALSE,2016,7221,FALSE,FALSE,1680026,3876,49,,719,213,2895,29357,6318,20962,2077,2.92,0,12.68,172.32,376.07,1247.72,123.63,429.81,33233,1978.12
IL,ILLINOIS,FALSE,2016,43616,FALSE,FALSE,12835726,56054,1061,,5003,17829,32161,263256,48193,195196,19867,8.27,0,138.9,250.56,375.46,1520.72,154.78,339.8,319310,2487.67
IN,INDIANA,FALSE,2016,25143,FALSE,FALSE,6634007,26516,431,,2449,7291,16345,168460,33567,120454,14439,6.5,0,109.9,246.38,505.98,1815.71,217.65,379,194976,2939.04
IA,IOWA,FALSE,2016,9049,FALSE,FALSE,3130869,9170,73,,1278,1150,6669,65888,15306,45580,5002,2.33,0,36.73,213.01,488.87,1455.83,159.76,289.03,75058,2397.35
KS,KANSAS,FALSE,2016,9653,FALSE,FALSE,2907731,11665,132,,1618,1757,8158,82293,14759,60119,7415,4.54,0,60.43,280.56,507.58,2067.56,255.01,331.98,93958,3231.32
KY,KENTUCKY,FALSE,2016,11867,FALSE,FALSE,4436113,10452,265,,1748,3371,5068,97713,20932,66833,9948,5.97,0,75.99,114.24,471.85,1506.57,224.25,267.51,108165,2438.28
LA,LOUISIANA,FALSE,2016,15059,FALSE,FALSE,4686157,26477,555,,1819,5575,18528,154511,34689,109492,10330,11.84,0,118.97,395.38,740.24,2336.5,220.44,321.35,180988,3862.18
ME,MAINE,FALSE,2016,2356,FALSE,FALSE,1330232,1649,20,,413,268,948,21908,4001,17131,776,1.5,0,20.15,71.27,300.77,1287.82,58.34,177.11,23557,1770.89
MD,MARYLAND,FALSE,2016,20236,FALSE,FALSE,6024752,29019,536,,1827,10815,15841,139716,24832,100995,13889,8.9,0,179.51,262.93,412.17,1676.33,230.53,335.88,168735,2800.7
MA,MASSACHUSETTS,FALSE,2016,9038,FALSE,FALSE,6823721,25975,135,,2141,5365,18334,106430,19204,79155,8071,1.98,0,78.62,268.68,281.43,1160,118.28,132.45,132405,1940.36
MI,MICHIGAN,FALSE,2016,41122,FALSE,FALSE,9933445,45782,612,,7268,7123,30779,190249,39738,130249,20262,6.16,0,71.71,309.85,400.04,1311.22,203.98,413.98,236031,2376.12
MN,MINNESOTA,FALSE,2016,9509,FALSE,FALSE,5525050,13365,101,,2349,3730,7185,117723,18582,90421,8720,1.83,0,67.51,130.04,336.32,1636.56,157.83,172.11,131088,2372.61
MS,MISSISSIPPI,FALSE,2016,13720,FALSE,FALSE,2985415,8411,237,,1282,2433,4459,82521,23489,54725,4307,7.94,0,81.5,149.36,786.79,1833.08,144.27,459.57,90932,3045.87
MO,MISSOURI,FALSE,2016,32427,FALSE,FALSE,6091176,31720,538,,2557,6576,22049,170661,31716,120649,18296,8.83,0,107.96,361.98,520.69,1980.72,300.37,532.36,202381,3322.53
MT,MONTANA,FALSE,2016,3199,FALSE,FALSE,1038656,3886,37,,598,268,2983,28156,3966,21427,2763,3.56,0,25.8,287.2,381.84,2062.95,266.02,307.99,32042,3084.95
NE,NEBRASKA,FALSE,2016,5167,FALSE,FALSE,1907603,5661,49,,1108,946,3558,43197,6459,32009,4729,2.57,0,49.59,186.52,338.59,1677.97,247.9,270.86,48858,2561.22
NV,NEVADA,FALSE,2016,13932,FALSE,FALSE,2939254,19924,228,,1729,6338,11629,75922,18816,43949,13157,7.76,0,215.63,395.64,640.16,1495.24,447.63,474,95846,3260.9
NH,NEW HAMPSHIRE,FALSE,2016,2599,FALSE,FALSE,1335015,2668,19,,609,431,1609,20323,2989,16454,880,1.42,0,32.28,120.52,223.89,1232.5,65.92,194.68,22991,1722.15
NJ,NEW JERSEY,FALSE,2016,19458,FALSE,FALSE,8978416,21861,378,,1454,8940,11089,138012,25229,101459,11324,4.21,0,99.57,123.51,281,1130.03,126.12,216.72,159873,1780.64
NM,NEW MEXICO,FALSE,2016,6996,FALSE,FALSE,2085432,14585,139,,1527,2737,10182,81930,17280,52907,11743,6.67,0,131.24,488.24,828.61,2536.98,563.1,335.47,96515,4628.06
NY,NEW YORK,FALSE,2016,50611,FALSE,FALSE,19836286,74315,629,,6281,22310,45095,305224,39850,250990,14384,3.17,0,112.47,227.34,200.89,1265.31,72.51,255.14,379539,1913.36
NC,NORTH CAROLINA,FALSE,2016,35970,FALSE,FALSE,10156689,37767,678,,2847,9336,24906,277765,72082,190377,15306,6.68,0,91.92,245.22,709.7,1874.4,150.7,354.15,315532,3106.64
ND,NORTH DAKOTA,FALSE,2016,1639,FALSE,FALSE,755548,1905,16,,356,181,1352,17451,3248,12249,1954,2.12,0,23.96,178.94,429.89,1621.21,258.62,216.93,19356,2561.85
OH,OHIO,FALSE,2016,52172,FALSE,FALSE,11622554,35759,683,,5754,12574,16748,300945,67081,214102,19762,5.88,0,108.19,144.1,577.16,1842.13,170.03,448.89,336704,2896.99
OK,OKLAHOMA,FALSE,2016,26367,FALSE,FALSE,3921207,17855,247,,2100,3174,12334,118010,29376,76358,12276,6.3,0,80.94,314.55,749.16,1947.31,313.07,672.42,135865,3464.88
OR,OREGON,FALSE,2016,14579,FALSE,FALSE,4085989,10983,116,,1784,2307,6776,121716,16919,91507,13290,2.84,0,56.46,165.84,414.07,2239.53,325.26,356.8,132699,3247.66
PA,PENNSYLVANIA,FALSE,2016,48287,FALSE,FALSE,12787085,40389,674,,4459,12314,22942,222394,35178,174147,13069,5.27,0,96.3,179.42,275.11,1361.9,102.2,377.62,262783,2055.07
RI,RHODE ISLAND,TRUE,2016,2887,FALSE,FALSE,1057566,2529,29,,445,541,1514,18910,3650,14157,1103,2.74,0,51.16,143.16,345.13,1338.64,104.3,272.99,21439,2027.2
SC,SOUTH CAROLINA,FALSE,2016,20376,FALSE,FALSE,4959822,25137,358,,2491,4071,18217,161534,33149,114455,13930,7.22,0,82.08,367.29,668.35,2307.64,280.86,410.82,186671,3763.66
SD,SOUTH DAKOTA,FALSE,2016,3770,FALSE,FALSE,861542,3636,28,,526,274,2808,17207,3002,12705,1500,3.25,0,31.8,325.93,348.44,1474.68,174.11,437.59,20843,2419.27
TN,TENNESSEE,FALSE,2016,21539,FALSE,FALSE,6649404,42459,495,,2803,7829,31332,191199,40607,135353,15239,7.44,0,117.74,471.2,610.69,2035.57,229.18,323.92,233658,3513.97
TX,TEXAS,FALSE,2016,151276,FALSE,FALSE,27904862,121064,1478,,13446,33298,72842,769892,148796,552106,68990,5.3,0,119.33,261.04,533.23,1978.53,247.23,542.11,890956,3192.83
UT,UTAH,FALSE,2016,4502,FALSE,FALSE,3044321,7406,74,,1560,1528,4244,90561,12938,68261,9362,2.43,0,50.19,139.41,424.99,2242.24,307.52,147.88,97967,3218.02
VT,VERMONT,TRUE,2016,1735,FALSE,FALSE,623354,851,14,,170,78,589,9705,1884,7637,184,2.25,0,12.51,94.49,302.24,1225.15,29.52,278.33,10556,1693.42
VA,VIRGINIA,FALSE,2016,29882,FALSE,FALSE,8414380,18495,482,,2830,4826,10357,157292,20159,127285,9848,5.73,0,57.35,123.09,239.58,1512.71,117.04,355.13,175787,2089.13
WA,WASHINGTON,FALSE,2016,17228,FALSE,FALSE,7280934,22101,195,,3133,5649,13124,254994,49249,173423,32322,2.68,0,77.59,180.25,676.41,2381.88,443.93,236.62,277095,3805.76
WV,WEST VIRGINIA,FALSE,2016,5899,FALSE,FALSE,1828637,6633,85,,684,720,5144,37282,9127,25657,2498,4.65,0,39.37,281.3,499.11,1403.07,136.6,322.59,43915,2401.52
WI,WISCONSIN,FALSE,2016,23163,FALSE,FALSE,5772917,17716,232,,2005,4707,10772,111911,19498,82455,9958,4.02,0,81.54,186.6,337.75,1428.31,172.5,401.24,129627,2245.43
WY,WYOMING,FALSE,2016,2352,FALSE,FALSE,584910,1431,20,,206,59,1146,11460,1771,8889,800,3.42,0,10.09,195.93,302.78,1519.72,136.77,402.11,12891,2203.93
